节点,径向位置(m),弯曲AC(m),后掠AC(m),弯曲角(°),扭转角(°),弦长(m),翼型ID
1,0.0,0.0,0.0,0.0,13.308,3.542,1
2,1.367,-0.001,-0.003,0.0,13.308,3.542,2
3,4.1,-0.025,-0.105,0.0,13.308,3.854,3
4,6.833,-0.059,-0.251,0.0,13.308,4.167,4
5,10.25,-0.109,-0.461,0.0,13.308,4.557,5
6,14.35,-0.116,-0.57,0.0,11.48,4.652,6
7,18.45,-0.098,-0.549,0.0,10.162,4.458,7
8,22.55,-0.083,-0.525,0.0,9.011,4.249,8
9,26.65,-0.068,-0.496,0.0,7.795,4.007,9
10,30.75,-0.053,-0.465,0.0,6.544,3.748,10
11,34.85,-0.041,-0.436,0.0,5.361,3.502,11
12,38.95,-0.03,-0.406,0.0,4.188,3.256,12
13,43.05,-0.021,-0.376,0.0,3.125,3.01,13
14,47.15,-0.014,-0.345,0.0,2.319,2.764,14
15,51.25,-0.008,-0.315,0.0,1.526,2.518,15
16,54.667,-0.004,-0.289,0.0,0.863,2.313,16
17,57.4,-0.002,-0.261,0.0,0.37,2.086,17
18,60.133,-0.0,-0.177,0.0,0.106,1.419,18
19,61.5,-0.0,-0.177,0.0,0.106,1.419,19
20,61.5,-0.0,-0.177,0.0,0.106,1.419,19
